hs_code
100199
100590
120190
151190
170114
170490
180690
190110
190590
210390
210690
220210
220300
220421
220830
230400
230910
230990
240220
260111
260112
260300
260600
260800
270112
270119
270210
270799
270900
271012
271019
271020
271111
271112
271113
271121
271320
271600
281820
290243
290511
293339
293359
293379
293399
293499
293590
293719
300212
300214
300215
300220
300241
300390
300420
300432
300439
300490
310210
310420
330210
330300
330499
380893
381800
382200
382219
382499
382600
390110
390120
390140
390210
390230
390690
390740
390810
391810
391990
392010
392190
392310
392321
392410
392690
400122
401110
401120
401519
401693
401699
420221
420222
420292
440712
470321
470329
490199
520100
610910
611020
611030
710812
710813
711319
841191
847130
847170
847330
851712
851713
851762
854231
854239
870321
870322
870323
870840
880240
999999
100630
120510
180100
020130
020230
020329
020714
030214
030617
040690
070200
080390
080610
090111
090121
